2026-06-06 04:33:21 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 04:34:41 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 04:35:26 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 04:40:36 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 04:41:19 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 04:50:42 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 04:52:33 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 22:42:17 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 22:46:46 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 22:48:04 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 22:49:57 | DEBUG    | test_logger | Infrastructure test debug message
2026-06-06 23:18:12 | DEBUG    | test_logger | Infrastructure test debug message
